date,avg_sentiment_weekly,weighted_avg_sentiment_weekly,neg_count_weekly,neu_count_weekly,pos_count_weekly,neg_prop_weekly,neu_prop_weekly,pos_prop_weekly,polarity_index_weekly,max_sentiment_weekly,min_sentiment_weekly,AI_avg_sentiment_weekly,AI_weighted_avg_sentiment_weekly,AI_neg_count_weekly,AI_neu_count_weekly,AI_pos_count_weekly,AI_neg_prop_weekly,AI_neu_prop_weekly,AI_pos_prop_weekly,AI_polarity_index_weekly,AI_max_sentiment_weekly,AI_min_sentiment_weekly,avg_sentiment_weekly_diff,weighted_avg_sentiment_weekly_diff,polarity_index_weekly_diff,neg_prop_weekly_diff,neu_prop_weekly_diff,pos_prop_weekly_diff,AI_avg_sentiment_weekly_diff,AI_weighted_avg_sentiment_weekly_diff,AI_polarity_index_weekly_diff,AI_neg_prop_weekly_diff,AI_neu_prop_weekly_diff,AI_pos_prop_weekly_diff
19/6/2020,0,0,1.5,3,1.5,0.125,0.25,0.125,0,0.5,-0.5,0.2083333333333333,0.2083333333333333,1,1.5,3.5,0.083333333,0.125,0.2916666666666667,0.2083333159722236,0.5,-0.5,0,0,0,-0.125,-0.25,-0.125,-0.208333333,-0.208333333,-0.208333316,-0.083333333,-0.125,-0.291666667
26/6/2020,0,0,3,6,3,0.25,0.5,0.25,0,1,-1,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0,0,0,0.125,0.25,0.125,0.2083333333333333,0.2083333333333333,0.2083333159722236,0.083333333,0.125,0.2916666666666667
3/7/2020,0,0,3,6,3,0.25,0.5,0.25,0,1,-1,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2020,0.125,0.125,2,3,3,0.25,0.375,0.375,0.1249999843750019,1,-1,0.625,0.625,0,3,5,0,0.375,0.625,0.6249999218750099,1,0,0.125,0.125,0.1249999843750019,0,-0.125,0.125,0.2083333333333333,0.2083333333333333,0.2083332899305625,-0.166666667,0.125,0.041666667
17/7/2020,0.0625,0.0625,1,1.5,1.5,0.125,0.1875,0.1875,0.062499992,0.5,-0.5,0.3125,0.3125,0,1.5,2.5,0,0.1875,0.3125,0.3124999609375049,0.5,0,-0.0625,-0.0625,-0.062499992,-0.125,-0.1875,-0.1875,-0.3125,-0.3125,-0.312499961,0,-0.1875,-0.3125
24/7/2020,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0.1041666666666666,0.1041666666666666,0.1041666467013925,0.2083333333333333,-0.020833333,0.3125,-0.145833333,-0.145833333,-0.145833322,0.3333333333333333,-0.020833333,0.1875
31/7/2020,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2020,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0.1666666666666666,0.1666666666666666,2,1,3,0.3333333333333333,0.1666666666666666,0.5,0.1666666388888935,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
14/8/2020,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0.5833333333333334,0.5833333333333334,2,1,9,0.1666666666666666,0.083333333,0.75,0.5833332847222263,1,-1,0.25,0.25,0.2499999930555538,-0.166666667,0.083333333,0.083333333,0.4166666666666667,0.4166666666666667,0.4166666458333328,-0.166666667,-0.083333333,0.25
21/8/2020,0.2083333333333333,0.2083333333333333,1,1.5,3.5,0.083333333,0.125,0.2916666666666667,0.2083333159722236,0.5,-0.5,0.2916666666666667,0.2916666666666667,1,0.5,4.5,0.083333333,0.041666667,0.375,0.2916666423611131,0.5,-0.5,-0.208333333,-0.208333333,-0.208333316,-0.083333333,-0.125,-0.291666667,-0.291666667,-0.291666667,-0.291666642,-0.083333333,-0.041666667,-0.375
28/8/2020,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0.5833333333333334,0.5833333333333334,2,1,9,0.1666666666666666,0.083333333,0.75,0.5833332847222263,1,-1,0.2083333333333333,0.2083333333333333,0.2083333159722236,0.083333333,0.125,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666423611131,0.083333333,0.041666667,0.375
4/9/2020,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0.5833333333333334,0.5833333333333334,2,1,9,0.1666666666666666,0.083333333,0.75,0.5833332847222263,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
11/9/2020,0,0,2,3,2,0.2857142857142857,0.4285714285714285,0.2857142857142857,0,1,-1,0.2857142857142857,0.2857142857142857,2,1,4,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.285714245,1,-1,-0.416666667,-0.416666667,-0.416666632,0.119047619,0.1785714285714285,-0.297619048,-0.297619048,-0.297619048,-0.29761904,0.119047619,0.05952381,-0.178571429
18/9/2020,0,0,1,1.5,1,0.1428571428571428,0.2142857142857142,0.1428571428571428,0,0.5,-0.5,0.1428571428571428,0.1428571428571428,1,0.5,2,0.1428571428571428,0.071428571,0.2857142857142857,0.1428571224489825,0.5,-0.5,0,0,0,-0.142857143,-0.214285714,-0.142857143,-0.142857143,-0.142857143,-0.142857122,-0.142857143,-0.071428571,-0.285714286
25/9/2020,0.5,0.5,1,1,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.4999999166666805,1,-1,0.5,0.5,1,1,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.4999999166666805,1,-1,0.5,0.5,0.4999999166666805,0.023809524,-0.047619048,0.5238095238095237,0.3571428571428571,0.3571428571428571,0.357142794,0.023809524,0.095238095,0.3809523809523809
2/10/2020,0.5,0.5,1,1,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.4999999166666805,1,-1,0.5,0.5,1,1,4,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.4999999166666805,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2020,0.5,0.5,0,1,1,0,0.5,0.5,0.49999975,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0.49999975,1,0,0,0,-1.67E-07,-0.166666667,0.3333333333333333,-0.166666667,0,0,-1.67E-07,-0.166666667,0.3333333333333333,-0.166666667
16/10/2020,0.125,0.125,2,3,3,0.25,0.375,0.375,0.1249999843750019,1,-1,0.375,0.375,2,1,5,0.25,0.125,0.625,0.3749999531250059,1,-1,-0.375,-0.375,-0.374999766,0.25,-0.125,-0.125,-0.125,-0.125,-0.124999797,0.25,-0.375,0.125
23/10/2020,0.0625,0.0625,1,1.5,1.5,0.125,0.1875,0.1875,0.062499992,0.5,-0.5,0.1875,0.1875,1,0.5,2.5,0.125,0.0625,0.3125,0.1874999765625029,0.5,-0.5,-0.0625,-0.0625,-0.062499992,-0.125,-0.1875,-0.1875,-0.1875,-0.1875,-0.187499977,-0.125,-0.0625,-0.3125
30/10/2020,0.125,0.125,2,3,3,0.25,0.375,0.375,0.1249999843750019,1,-1,0.375,0.375,2,1,5,0.25,0.125,0.625,0.3749999531250059,1,-1,0.0625,0.0625,0.062499992,0.125,0.1875,0.1875,0.1875,0.1875,0.1874999765625029,0.125,0.0625,0.3125
6/11/2020,0.125,0.125,2,3,3,0.25,0.375,0.375,0.1249999843750019,1,-1,0.375,0.375,2,1,5,0.25,0.125,0.625,0.3749999531250059,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2020,0.5,0.5,1,3,6,0.1,0.3,0.6,0.49999995,1,-1,0.4,0.4,0,6,4,0,0.6,0.4,0.39999996,1,0,0.375,0.375,0.374999966,-0.15,-0.075,0.2249999999999999,0.025,0.025,0.025000007,-0.25,0.475,-0.225
20/11/2020,0.25,0.25,0.5,1.5,3,0.05,0.15,0.3,0.2499999750000025,0.5,-0.5,0.2,0.2,0,3,2,0,0.3,0.2,0.19999998,0.5,0,-0.25,-0.25,-0.249999975,-0.05,-0.15,-0.3,-0.2,-0.2,-0.19999998,0,-0.3,-0.2
27/11/2020,0.5,0.5,1,3,6,0.1,0.3,0.6,0.49999995,1,-1,0.4,0.4,0,6,4,0,0.6,0.4,0.39999996,1,0,0.25,0.25,0.2499999750000025,0.05,0.15,0.3,0.2,0.2,0.19999998,0,0.3,0.2
4/12/2020,0.5,0.5,1,3,6,0.1,0.3,0.6,0.49999995,1,-1,0.4,0.4,0,6,4,0,0.6,0.4,0.39999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2020,0.2857142857142857,0.2857142857142857,2,1,4,0.2857142857142857,0.1428571428571428,0.5714285714285714,0.285714245,1,-1,0.4285714285714285,0.4285714285714285,2,0,5,0.2857142857142857,0,0.7142857142857143,0.4285713673469475,1,-1,-0.214285714,-0.214285714,-0.214285705,0.1857142857142857,-0.157142857,-0.028571429,0.028571429,0.028571429,0.028571407,0.2857142857142857,-0.6,0.3142857142857143
18/12/2020,0.1428571428571428,0.1428571428571428,1,0.5,2,0.1428571428571428,0.071428571,0.2857142857142857,0.1428571224489825,0.5,-0.5,0.2142857142857142,0.2142857142857142,1,0,2.5,0.1428571428571428,0,0.3571428571428571,0.2142856836734737,0.5,-0.5,-0.142857143,-0.142857143,-0.142857122,-0.142857143,-0.071428571,-0.285714286,-0.214285714,-0.214285714,-0.214285684,-0.142857143,0,-0.357142857
25/12/2020,0.5,0.5,0,1,1,0,0.5,0.5,0.49999975,1,0,0,0,0,2,0,0,1,0,0,0,0,0.3571428571428571,0.3571428571428571,0.3571426275511424,-0.142857143,0.4285714285714286,0.2142857142857143,-0.214285714,-0.214285714,-0.214285684,-0.142857143,1,-0.357142857
1/1/2021,-0.4,-0.4,2,3,0,0.4,0.6,0,-0.39999992,0,-1,0.4,0.4,0,3,2,0,0.6,0.4,0.39999992,1,0,-0.9,-0.9,-0.89999967,0.4,0.1,-0.5,0.4,0.4,0.39999992,0,-0.4,0.4
8/1/2021,0.1351351351351351,0.1490563689878148,9,14,14,0.2432432432432432,0.3783783783783784,0.3783783783783784,0.1351351314828343,1,-1,0.2432432432432432,0.2432432432432432,6,16,15,0.1621621621621621,0.4324324324324324,0.4054054054054054,0.2432432366691017,1,-1,0.5351351351351352,0.5490563689878148,0.5351350514828503,-0.156756757,-0.221621622,0.3783783783783784,-0.156756757,-0.156756757,-0.156756683,0.1621621621621621,-0.167567568,0.005405405
15/1/2021,-0.064516129,-0.027886215,9,15,7,0.2903225806451613,0.4838709677419355,0.2258064516129032,-0.064516127,1,-1,0.2258064516129032,0.2258064516129032,5,14,12,0.1612903225806451,0.4516129032258064,0.3870967741935484,0.2258064443288243,1,-1,-0.199651264,-0.176942584,-0.199651258,0.047079337,0.1054925893635571,-0.152571927,-0.017436792,-0.017436792,-0.017436792,-0.00087184,0.019180471,-0.018308631
22/1/2021,-0.032258065,-0.013943108,4.5,7.5,3.5,0.1451612903225806,0.2419354838709677,0.1129032258064516,-0.032258063,0.5,-0.5,0.1129032258064516,0.1129032258064516,2.5,7,6,0.080645161,0.2258064516129032,0.1935483870967742,0.1129032221644121,0.5,-0.5,0.032258065,0.013943108,0.032258063,-0.14516129,-0.241935484,-0.112903226,-0.112903226,-0.112903226,-0.112903222,-0.080645161,-0.225806452,-0.193548387
29/1/2021,-0.016129032,-0.006971554,2.25,3.75,1.75,0.072580645,0.1209677419354838,0.056451613,-0.016129032,0.25,-0.25,0.056451613,0.056451613,1.25,3.5,3,0.040322581,0.1129032258064516,0.096774194,0.056451611,0.25,-0.25,0.016129032,0.006971554,0.016129032,-0.072580645,-0.120967742,-0.056451613,-0.056451613,-0.056451613,-0.056451611,-0.040322581,-0.112903226,-0.096774194
5/2/2021,-0.1,-0.067371224,4,3,3,0.4,0.3,0.3,-0.09999999,1,-1,0.4,0.4,1,4,5,0.1,0.4,0.5,0.39999996,1,-1,-0.083870968,-0.06039967,-0.083870958,0.3274193548387097,0.1790322580645161,0.2435483870967741,0.3435483870967742,0.3435483870967742,0.3435483489177979,0.059677419,0.2870967741935484,0.4032258064516129
12/2/2021,-0.029411765,-0.05492324,12,11,11,0.3529411764705882,0.3235294117647059,0.3235294117647059,-0.029411764,1,-1,0.029411765,0.029411765,8,17,9,0.2352941176470588,0.5,0.2647058823529412,0.029411764,1,-1,0.070588235,0.012447984,0.070588226,-0.047058824,0.023529412,0.023529412,-0.370588235,-0.370588235,-0.370588196,0.1352941176470588,0.1,-0.235294118
19/2/2021,-0.029411765,-0.05492324,12,11,11,0.3529411764705882,0.3235294117647059,0.3235294117647059,-0.029411764,1,-1,0.029411765,0.029411765,8,17,9,0.2352941176470588,0.5,0.2647058823529412,0.029411764,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
26/2/2021,-0.014705882,-0.02746162,6,5.5,5.5,0.1764705882352941,0.1617647058823529,0.1617647058823529,-0.014705882,0.5,-0.5,0.014705882,0.014705882,4,8.5,4.5,0.1176470588235294,0.25,0.1323529411764706,0.014705882,0.5,-0.5,0.014705882,0.02746162,0.014705882,-0.176470588,-0.161764706,-0.161764706,-0.014705882,-0.014705882,-0.014705882,-0.117647059,-0.25,-0.132352941
5/3/2021,-0.257142857,-0.302917958,14,16,5,0.4,0.4571428571428571,0.1428571428571428,-0.25714285,1,-1,0.1428571428571428,0.1428571428571428,11,8,16,0.3142857142857143,0.2285714285714285,0.4571428571428571,0.1428571387755103,1,-1,-0.242436975,-0.275456338,-0.242436968,0.2235294117647059,0.2953781512605041,-0.018907563,0.1281512605042016,0.1281512605042016,0.128151257,0.1966386554621848,-0.021428571,0.3247899159663865
12/3/2021,0.2037037037037037,0.1790600259013837,9,25,20,0.1666666666666666,0.4629629629629629,0.3703703703703703,0.2037036999314129,1,-1,0.092592593,0.092592593,17,15,22,0.3148148148148148,0.2777777777777778,0.4074074074074074,0.092592591,1,-1,0.4608465608465608,0.481977984,0.4608465497273316,-0.233333333,0.005820106,0.2275132275132275,-0.05026455,-0.05026455,-0.050264548,0.000529101,0.049206349,-0.04973545
19/3/2021,0.2037037037037037,0.1790600259013837,9,25,20,0.1666666666666666,0.4629629629629629,0.3703703703703703,0.2037036999314129,1,-1,0.092592593,0.092592593,17,15,22,0.3148148148148148,0.2777777777777778,0.4074074074074074,0.092592591,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
26/3/2021,0.1018518518518518,0.089530013,4.5,12.5,10,0.083333333,0.2314814814814814,0.1851851851851851,0.1018518499657064,0.5,-0.5,0.046296296,0.046296296,8.5,7.5,11,0.1574074074074074,0.1388888888888889,0.2037037037037037,0.046296295,0.5,-0.5,-0.101851852,-0.089530013,-0.10185185,-0.083333333,-0.231481481,-0.185185185,-0.046296296,-0.046296296,-0.046296295,-0.157407407,-0.138888889,-0.203703704
2/4/2021,0.2,0.2,5,6,9,0.25,0.3,0.45,0.1999999900000005,1,-1,0.15,0.15,5,7,8,0.25,0.35,0.4,0.1499999925000003,1,-1,0.098148148,0.1104699870493081,0.09814814,0.1666666666666666,0.068518519,0.2648148148148148,0.1037037037037037,0.1037037037037037,0.1037036970610428,0.092592593,0.211111111,0.1962962962962963
9/4/2021,0.090909091,0.1755674891324117,10,20,14,0.2272727272727272,0.4545454545454545,0.3181818181818182,0.090909089,1,-1,0.4545454545454545,0.4545454545454545,9,6,29,0.2045454545454545,0.1363636363636363,0.6590909090909091,0.4545454442148763,1,-1,-0.109090909,-0.024432511,-0.109090901,-0.022727273,0.1545454545454545,-0.131818182,0.3045454545454545,0.3045454545454545,0.3045454517148759,-0.045454545,-0.213636364,0.259090909
16/4/2021,-0.052631579,0.008272474,6,8,5,0.3157894736842105,0.4210526315789473,0.2631578947368421,-0.052631576,1,-1,0.2631578947368421,0.2631578947368421,4,6,9,0.2105263157894736,0.3157894736842105,0.4736842105263157,0.2631578808864273,1,-1,-0.14354067,-0.167295015,-0.143540665,0.088516746,-0.033492823,-0.055023923,-0.19138756,-0.19138756,-0.191387563,0.005980861,0.1794258373205741,-0.185406699
