Date,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio
2023-07-07,556014,19.24955069,923403.58836535,923384.33881466,25.20860074,923384.33881466,15373.0063906,3.462e-05,0.99997915
2023-07-08,573697,14.74024606,706998.03886925,706983.29862319,233.12805765,706983.29862319,15427.47190298,2.569e-05,0.99997915
2023-07-09,594265,13.1841681,720689.48821322,720676.30404512,182.54816844,720676.30404512,15475.05014973,2.219e-05,0.99998171
2023-07-10,507115,16.24512403,912812.13745228,912795.89232825,114.19411715,912795.89232825,15469.24699332,3.203e-05,0.9999822
2023-07-11,432293,16.9522639,815126.43760218,815109.48533828,31.83586203,815109.48533828,15472.88891385,3.921e-05,0.9999792
2023-07-12,478320,19.29161277,903599.00418529,903579.71257252,121.66873656,903579.71257252,15497.20844638,4.033e-05,0.99997865
2023-07-13,375859,19.65757317,929571.16897852,929551.51140535,160.86952966,929551.51140535,15512.86934159,5.23e-05,0.99997885
2023-07-14,421666,22.67725387,945493.6511888,945470.97393493,63.83948125,945470.97393493,15595.96874918,5.378e-05,0.99997602
2023-07-15,484980,16.74064072,679925.71959551,679908.97895479,70.00267352,679908.97895479,15686.14008666,3.452e-05,0.99997538
2023-07-16,595145,15.43001031,685727.91773172,685712.48772141,101.57127995,685712.48772141,15709.24712686,2.593e-05,0.9999775
2023-07-17,428612,17.22296256,864686.88858826,864669.6656257,69.79399126,864669.6656257,17675.21900031,4.018e-05,0.99998008
2023-07-18,582684,19.08879751,1108672.56474375,1108653.47594624,170.77334905,1108653.47594624,59300.09695947,3.276e-05,0.99998278
2023-07-19,480249,18.16370337,893822.30188572,893804.13818235,121.33873839,893804.13818235,55022.19754649,3.782e-05,0.99997968
2023-07-20,400400,22.75465362,863306.06991487,863283.31526125,231.26501546,863283.31526125,15712.31840624,5.683e-05,0.99997364
2023-07-21,323847,22.93350964,743611.18484812,743588.25133848,58.38297247,743588.25133848,15697.5607961,7.082e-05,0.99996916
2023-07-22,288750,45.95214263,525885.79914817,525839.84700554,26.34195913,525839.84700554,15668.06339428,0.00015914,0.99991262
2023-07-23,559624,25.54846983,534592.6070355,534567.05856567,90.02942825,534567.05856567,15664.35884399,4.565e-05,0.99995221
2023-07-24,529923,26.44889781,751906.45636035,751880.00746254,135.22459118,751880.00746254,18802.185927,4.991e-05,0.99996482
2023-07-25,462586,17.85638854,691042.53817442,691024.68178588,50.65757372,691024.68178588,15712.27584871,3.86e-05,0.99997416
2023-07-26,452746,18.81831863,700105.75201708,700086.93369845,133.67115485,700086.93369845,15744.05075778,4.156e-05,0.99997312
2023-07-27,413038,20.83844045,738761.00628037,738740.16783992,64.13096904,738740.16783992,15733.26854992,5.045e-05,0.99997179
2023-07-28,449225,20.35879906,785744.92049971,785724.56170065,57.45693178,785724.56170065,15758.41665108,4.532e-05,0.99997409
2023-07-29,423119,16.14425575,535838.1513003,535822.00704455,190.96268072,535822.00704455,15815.44472059,3.816e-05,0.99996987
2023-07-30,645854,17.13087238,624776.08023618,624758.9493638,164.25626051,624758.9493638,15813.37056477,2.652e-05,0.99997258
2023-07-31,445666,16.65975421,797106.91513782,797090.25538361,44.46896063,797090.25538361,15786.38639832,3.738e-05,0.9999791
2023-08-01,412219,18.48016358,756721.4396846,756702.95952102,70.14838287,756702.95952102,15749.46759139,4.483e-05,0.99997558
2023-08-02,390768,20.88584786,688205.73358378,688184.84773592,158.53301352,688184.84773592,17253.77405269,5.345e-05,0.99996965
2023-08-03,476007,23.24083874,689691.75350783,689668.51266909,141.11951602,689668.51266909,15723.20338486,4.882e-05,0.9999663
2023-08-04,318486,22.51529554,659717.06801056,659694.55271502,155.29561925,659694.55271502,15691.51646147,7.069e-05,0.99996587
2023-08-05,500723,21.10699133,580343.40634945,580322.29935812,127.64465498,580322.29935812,15710.79868398,4.215e-05,0.99996363
2023-08-06,607275,16.91030901,504716.63154948,504699.72124047,88.4897061,504699.72124047,15734.19411404,2.785e-05,0.9999665
2023-08-07,427534,22.68954627,893511.46883424,893488.77928797,108.87564735,893488.77928797,15748.94986291,5.307e-05,0.99997461
2023-08-08,331194,29.11310746,898047.48571849,898018.37261103,194.53206892,898018.37261103,15757.73774692,8.79e-05,0.99996758
2023-08-09,506746,27.08885435,872138.34401354,872111.25515919,177.24455491,872111.25515919,15769.66744826,5.346e-05,0.99996894
2023-08-10,358039,24.62276261,940278.66948828,940254.04672567,180.05492366,940254.04672567,15776.46734885,6.877e-05,0.99997381
2023-08-11,506538,23.46538348,817681.44482445,817657.97944097,96.30546002,817657.97944097,15828.22069702,4.633e-05,0.9999713
2023-08-12,503934,19.42138858,734640.5652159,734621.14382732,126.56778051,734621.14382732,15868.02816061,3.854e-05,0.99997356
2023-08-13,497112,13.48277636,622867.75129986,622854.2685235,196.86450351,622854.2685235,15876.87586251,2.712e-05,0.99997835
2023-08-14,568517,18.18730987,857363.21760827,857345.0302984,183.2701515,857345.0302984,15879.11364385,3.199e-05,0.99997879
2023-08-15,583063,18.26277983,801602.17381798,801583.91103815,183.3387104,801583.91103815,15874.96508723,3.132e-05,0.99997722
2023-08-16,566832,18.04051787,910811.9962632,910793.95574533,126.54444627,910793.95574533,15884.73185334,3.183e-05,0.99998019
2023-08-17,502274,18.93920979,1218004.26840994,1217985.32920015,101.08014373,1217985.32920015,15901.70940921,3.771e-05,0.99998445
2023-08-18,423207,22.00322461,1006569.72128714,1006547.71806253,76.91544548,1006547.71806253,23798.93776918,5.199e-05,0.99997814
2023-08-19,519780,16.69938239,663089.78052426,663073.08114187,6.31383631,663073.08114187,16194.00181143,3.213e-05,0.99997482
2023-08-20,612461,14.98498545,602793.91238073,602778.92739528,183.81986605,602778.92739528,16202.42970615,2.447e-05,0.99997514
2023-08-21,550074,16.57586188,1017034.6601332,1017018.08427132,113.69965094,1017018.08427132,16210.53395157,3.013e-05,0.9999837
2023-08-22,420857,18.81110136,1051630.54717582,1051611.73607446,82.82826203,1051611.73607446,16197.88272058,4.47e-05,0.99998211
2023-08-23,417822,19.32958413,1063243.81691237,1063224.48732824,63.50090199,1063224.48732824,23348.9381152,4.626e-05,0.99998182
2023-08-24,399151,17.45846717,859348.59428958,859331.13582241,38.03345706,859331.13582241,19710.649762,4.374e-05,0.99997968
2023-08-25,425192,18.0358644,781308.74201934,781290.70615494,19.38838832,781290.70615494,16217.46279994,4.242e-05,0.99997692
2023-08-26,497513,16.08579159,577726.32901969,577710.2432281,25.32904954,577710.2432281,16225.40824095,3.233e-05,0.99997216
2023-08-27,413594,13.47194868,786647.41563527,786633.94368659,140.0299752,786633.94368659,16223.56830472,3.257e-05,0.99998287
2023-08-28,331345,16.9729564,905887.66246492,905870.68950852,128.00141002,905870.68950852,16227.99596457,5.122e-05,0.99998126
2023-08-29,500301,21.15115106,995359.01061662,995337.85946556,164.39942994,995337.85946556,16223.00075461,4.228e-05,0.99997875
2023-08-30,408001,19.22098827,995937.0943983,995917.87341003,153.38247916,995917.87341003,22613.9381152,4.711e-05,0.9999807
2023-08-31,437435,26.54064023,818857.2092511,818830.66861087,134.8640791,818830.66861087,16237.63509815,6.067e-05,0.99996759
2023-09-01,419548,26.15191778,927225.38478699,927199.23286921,159.05119647,927199.23286921,19808.260152,6.233e-05,0.9999718
2023-09-02,539748,23.26197841,605971.53893418,605948.27695577,121.75556182,605948.27695577,16310.50299067,4.31e-05,0.99996161
2023-09-03,625257,19.89314825,484508.64223069,484488.74908244,63.66348576,484488.74908244,16309.91308786,3.182e-05,0.99995894
2023-09-04,573196,22.27598471,646257.61860383,646235.34261912,19.06324913,646235.34261912,16309.81712677,3.886e-05,0.99996553
2023-09-05,462093,24.39689427,709947.93756152,709923.54066725,128.99930563,709923.54066725,16293.96422152,5.28e-05,0.99996564
2023-09-06,485357,30.25389769,696357.95189679,696327.6979991,175.07390748,696327.6979991,21978.93797,6.233e-05,0.99995655
2023-09-07,537939,31.57012849,695546.13623578,695514.56610729,83.95458298,695514.56610729,16368.37887674,5.869e-05,0.99995461
2023-09-08,414799,35.85455887,643668.91843369,643633.06387482,6.43431486,643633.06387482,16369.84215648,8.644e-05,0.9999443
2023-09-09,597409,32.53049267,550956.17790398,550923.64741131,116.53427135,550923.64741131,16371.4595802,5.445e-05,0.99994096
2023-09-10,558395,47.06196052,636682.12166213,636635.05970161,70.83649303,636635.05970161,16365.1704949,8.428e-05,0.99992608
2023-09-11,459132,32.69725456,734765.16717852,734732.46992396,153.82235152,734732.46992396,16347.14950553,7.122e-05,0.9999555
2023-09-12,462328,31.0294445,818294.8497944,818263.8203499,58.09594613,818263.8203499,16421.89920605,6.712e-05,0.99996208
2023-09-13,512446,31.12870221,673695.10589161,673663.9771894,103.37636955,673663.9771894,16384.34440476,6.075e-05,0.99995379
2023-09-14,576215,30.89771389,765382.68662212,765351.78890823,172.67498179,765351.78890823,16356.65766175,5.362e-05,0.99995963
2023-09-15,703692,32.61796493,861426.82189634,861394.20393141,70.21205572,861394.20393141,16354.78881637,4.635e-05,0.99996213
2023-09-16,593144,26.70099864,645484.65519024,645457.9541916,141.19807788,645457.9541916,16341.75499244,4.502e-05,0.99995863
2023-09-17,611220,28.30720798,578381.41808139,578353.11087341,45.13949447,578353.11087341,16378.09129139,4.631e-05,0.99995106
2023-09-18,635845,46.80860926,785824.8709509,785778.06234164,143.70497432,785778.06234164,16366.69024115,7.362e-05,0.99994043
2023-09-19,493887,46.94653264,856831.98182935,856785.03529671,46.81686128,856785.03529671,16358.68067549,9.506e-05,0.99994521
2023-09-20,551783,47.3769508,933956.69778221,933909.32083141,164.30256522,933909.32083141,18242.790192,8.586e-05,0.99994927
2023-09-21,431540,47.3464006,713077.64147705,713030.29507645,25.99390876,713030.29507645,16319.4293951,0.00010971,0.9999336
2023-09-22,441679,45.99544894,640234.02097581,640188.02552687,0.0,640188.02552687,16319.98373198,0.00010414,0.99992816
2023-09-23,629617,51.57942328,474246.18909108,474194.6096678,117.23237289,474194.6096678,16333.73002646,8.192e-05,0.99989124
2023-09-24,441181,37.08650941,483336.29051716,483299.20400775,122.97121238,483299.20400775,16328.31323294,8.406e-05,0.99992327
2023-09-25,285750,33.36548549,816574.42912599,816541.0636405,155.30760347,816541.0636405,16331.76578485,0.00011676,0.99995914
2023-09-26,309789,27.64610498,662399.42610039,662371.77999541,110.10601503,662371.77999541,16356.35903576,8.924e-05,0.99995826
2023-09-27,337265,31.73405543,760697.32388419,760665.58982876,178.1423136,760665.58982876,16371.79494789,9.409e-05,0.99995828
2023-09-28,378975,29.01291667,810268.16216981,810239.14925314,96.0386454,810239.14925314,16377.88033576,7.656e-05,0.99996419
2023-09-29,330269,29.36315436,888883.6518914,888854.28873704,152.94355802,888854.28873704,16342.06493043,8.891e-05,0.99996697
