DATE,Close,High,Low,Open,Volume
2021-03-26,55137.3125,55137.3125,51579.85546875,51683.01171875,56652197978
2021-04-02,59384.3125,60267.1875,58869.28125,59098.87890625,58727860620
2021-04-09,58245.00390625,58937.046875,57807.86328125,58326.5625,46655208546
2021-04-16,61572.7890625,63594.72265625,60222.53125,63258.50390625,84293007468
2021-04-23,51093.65234375,52120.79296875,47714.6640625,51739.80859375,86668667320
2021-04-30,57750.17578125,57900.71875,53129.6015625,53568.6640625,52395931985
2021-05-07,57356.40234375,58606.6328125,55321.84765625,56413.953125,68434023376
2021-05-14,49880.53515625,51438.1171875,48868.578125,49682.98046875,55737497453
2021-05-21,37304.69140625,42172.171875,33616.453125,40596.94921875,82051616861
2021-05-28,35697.60546875,38856.96875,34779.0390625,38507.08203125,55200191952
2021-06-04,36894.40625,39242.484375,35717.72265625,39242.484375,41831090187
2021-06-11,37334.3984375,37608.6953125,36044.44921875,36697.03125,38699736985
2021-06-18,35787.24609375,38187.26171875,35255.85546875,38099.4765625,36200887275
2021-06-25,31637.779296875,35487.24609375,31350.884765625,34659.10546875,40230904226
2021-07-02,33897.046875,33939.58984375,32770.6796875,33549.6015625,38728974942
2021-07-09,33798.01171875,34042.29296875,32318.880859375,32861.671875,27436021028
2021-07-16,31421.5390625,32218.40625,31100.673828125,31841.55078125,23699476918
2021-07-23,33581.55078125,33581.55078125,32057.892578125,32305.958984375,22552046192
2021-07-30,42235.546875,42235.546875,38397.35546875,40027.484375,33072782960
2021-08-06,42816.5,43271.66015625,39932.1796875,40865.8671875,38226483046
2021-08-13,47793.3203125,47831.9765625,44282.41796875,44439.69140625,31744259539
2021-08-20,49339.17578125,49342.15234375,46650.70703125,46723.12109375,34706867452
2021-08-27,49058.66796875,49112.78515625,46394.28125,46894.5546875,34511076995
2021-09-03,50025.375,50982.2734375,48386.0859375,49288.25,43206179619
2021-09-10,44883.91015625,47031.7421875,44344.484375,46396.6640625,39154666597
2021-09-17,47267.51953125,48160.921875,46832.5234375,47771.00390625,28727713711
2021-09-24,42839.75,45080.4921875,40936.55859375,44894.30078125,42839345714
