date,^N225,CAT,CVX,GS,JPM,005930.KS,JNJ
2021-01-01,27444.169921875,165.98727416992188,69.04505920410156,235.3354034423828,111.60224151611328,73546.0703125,137.4080810546875
2021-01-08,28139.029296875,177.14915466308594,74.46565246582031,258.8680114746094,120.3231430053711,80628.3125,139.73046875
2021-01-15,28519.1796875,177.4774169921875,75.2914047241211,268.6220397949219,122.64080810546876,79901.921875,139.95750427246094
2021-01-22,28631.44921875,175.9647674560547,74.9970932006836,258.2523193359375,118.3504867553711,78812.3359375,142.79505920410156
2021-01-29,27663.390625,167.62217712402344,69.65824890136719,241.9928131103516,113.82132720947266,74454.0703125,142.4283905029297
2021-02-05,28779.189453125,176.93653869628906,72.97764587402344,261.920166015625,122.05695343017578,75816.03125,143.58084106445312
2021-02-12,29520.0703125,181.51126098632807,75.66751861572266,273.36065673828125,124.94960021972656,74090.8671875,145.4405517578125
2021-02-19,30017.919921875,192.4391326904297,79.43179321289062,281.6600646972656,130.9383087158203,74998.84375,142.2974090576172
2021-02-26,28966.009765625,197.9122467041016,82.91419982910156,285.104736328125,130.18641662597656,74908.0390625,139.2137451171875
2021-03-05,28864.3203125,201.8360290527344,90.3764877319336,293.2933044433594,133.49481201171875,74544.8515625,137.140380859375
2021-03-12,29717.830078125,209.9402770996093,92.49907684326172,312.5015563964844,138.130126953125,75180.4375,140.21527099609375
2021-03-19,29792.05078125,206.5390472412109,85.7166976928711,308.3714904785156,137.2366943359375,74363.2578125,140.601806640625
2021-03-26,29176.69921875,210.398666381836,89.11618041992188,293.3112487792969,137.1924591064453,74000.09375,144.89784240722656
2021-04-02,29854.0,213.36895751953125,87.68177032470703,293.53515625,135.9716796875,77338.546875,143.0529327392578
2021-04-09,29768.060546875,211.54461669921875,85.33529663085938,296.3752746582031,139.0593719482422,76244.125,141.6648406982422
2021-04-16,29683.369140625,213.93739318847656,85.36845397949219,306.6781921386719,136.40771484375,76517.7109375,142.53460693359375
2021-04-23,29020.630859375,211.91148376464844,84.19937133789062,304.0263061523437,133.64039611816406,75514.53125,145.4162139892578
2021-04-30,28812.630859375,210.0696563720703,85.45965576171875,312.1790771484375,136.86151123046875,74328.90625,142.96511840820312
2021-05-07,29357.8203125,221.93101501464844,91.22220611572266,332.28326416015625,143.47280883789062,74693.703125,148.0342559814453
2021-05-14,28084.470703125,223.0729522705078,90.76618194580078,330.3838806152344,145.93753051757812,73052.0859375,149.5453643798828
2021-05-21,28317.830078125,218.4775848388672,87.38701629638672,328.1351623535156,144.73629760742188,73052.0859375,150.1955108642578
2021-05-28,29149.41015625,222.013900756836,87.11004638671875,334.42120361328125,146.14224243164062,73052.0859375,149.62088012695312
2021-06-04,28941.51953125,224.72137451171875,91.0211410522461,351.88751220703125,148.0998077392578,74967.3046875,146.7212677001953
2021-06-11,28948.73046875,203.24566650390625,90.56793212890624,339.8417358398437,142.62747192382812,73872.890625,145.82843017578125
2021-06-18,28964.080078125,192.3420562744141,86.47219848632812,313.5749206542969,131.62054443359375,73416.8828125,143.1940155029297
2021-06-25,29066.1796875,199.2028350830078,90.05595397949219,331.49969482421875,137.0750732421875,74420.1015625,145.16542053222656
2021-07-02,28783.279296875,200.53819274902344,89.02364349365234,336.34490966796875,139.63693237304688,73283.9140625,149.38217163085938
2021-07-09,27940.419921875,200.2250518798828,87.34505462646484,334.1875,139.40426635742188,72734.296875,150.0629119873047
2021-07-16,28003.080078125,191.50401306152344,82.77090454101562,327.9309387207031,135.94981384277344,73100.6953125,148.60423278808594
