DATE,WM2NS
2022-12-12,21456.6
2022-12-19,21469.1
2022-12-26,21440.7
2023-01-02,21407.8
2023-01-09,21460.4
2023-01-16,21371.7
2023-01-23,21227.2
2023-01-30,21136.1
2023-02-06,21205.0
2023-02-13,21138.4
2023-02-20,21129.8
2023-02-27,21127.8
2023-03-06,21175.5
2023-03-13,21171.0
2023-03-20,21032.3
2023-03-27,20906.3
2023-04-03,20969.6
2023-04-10,21062.9
2023-04-17,20983.4
2023-04-24,20699.3
2023-05-01,20661.5
2023-05-08,20726.2
2023-05-15,20721.3
2023-05-22,20702.2
2023-05-29,20761.6
2023-06-05,20863.3
2023-06-12,20790.1
2023-06-19,20759.5
2023-06-26,20688.4
2023-07-03,20788.4
2023-07-10,20799.2
2023-07-17,20791.1
2023-07-24,20678.7
2023-07-31,20721.5
2023-08-07,20776.3
2023-08-14,20756.5
2023-08-21,20696.3
2023-08-28,20669.0
2023-09-04,20754.1
2023-09-11,20754.0
2023-09-18,20724.7
2023-09-25,20620.3
2023-10-02,20719.0
2023-10-09,20714.8
2023-10-16,20765.4
2023-10-23,20604.1
2023-10-30,20599.2
2023-11-06,20713.3
2023-11-13,20714.5
2023-11-20,20765.6
2023-11-27,20755.9
2023-12-04,20858.3
2023-12-11,20851.6
2023-12-18,20924.8
2023-12-25,20950.5
2024-01-01,20933.1
2024-01-08,20959.6
2024-01-15,20945.2
2024-01-22,20815.4
2024-01-29,20762.2
2024-02-05,20889.3
2024-02-12,20811.2
2024-02-19,20822.6
2024-02-26,20811.7
2024-03-04,20979.0
2024-03-11,21030.4
2024-03-18,21108.9
2024-03-25,21062.0
2024-04-01,21237.0
2024-04-08,21218.9
2024-04-15,21220.0
2024-04-22,20955.0
2024-04-29,20871.7
2024-05-06,20956.4
2024-05-13,20910.4
2024-05-20,20940.2
2024-05-27,20888.2
2024-06-03,21034.2
2024-06-10,21065.6
2024-06-17,21082.5
2024-06-24,20988.1
2024-07-01,21028.3
2024-07-08,21096.5
2024-07-15,21082.5
2024-07-22,21015.8
2024-07-29,20986.0
2024-08-05,21151.9
2024-08-12,21130.9
2024-08-19,21144.9
2024-08-26,21089.3
2024-09-02,21189.8
2024-09-09,21276.2
2024-09-16,21253.9
2024-09-23,21151.8
2024-09-30,21198.4
2024-10-07,21284.2
2024-10-14,21256.1
2024-10-21,21253.2
2024-10-28,21221.9
2024-11-04,21394.8
2024-11-11,21437.6
2024-11-18,21478.3
2024-11-25,21406.2
2024-12-02,21533.2
2024-12-09,21572.8
2024-12-16,21610.7
2024-12-23,21644.3
2024-12-30,21660.4
2025-01-06,21669.8
2025-01-13,21663.1
2025-01-20,21584.0
2025-01-27,21477.4
2025-02-03,21503.3
2025-02-10,21497.8
2025-02-17,21524.2
2025-02-24,21520.3
2025-03-03,21645.3
2025-03-10,21748.0
2025-03-17,21863.8
2025-03-24,21825.9
2025-03-31,21912.6
2025-04-07,22016.0
2025-04-14,22045.2
2025-04-21,21863.0
2025-04-28,21703.2
2025-05-05,21751.1
2025-05-12,21738.9
2025-05-19,21761.7
2025-05-26,21699.0
2025-06-02,21842.0
2025-06-09,21898.7
2025-06-16,21945.3
2025-06-23,21857.6
2025-06-30,21949.2
2025-07-07,22022.7
2025-07-14,21983.8
2025-07-21,21939.0
2025-07-28,21883.6
2025-08-04,22039.2
2025-08-11,22028.4
2025-08-18,22071.0
2025-08-25,21971.9
2025-09-01,22060.0
2025-09-08,22139.2
2025-09-15,22177.0
2025-09-22,22058.1
2025-09-29,22063.0
2025-10-06,22208.1
2025-10-13,22182.3
2025-10-20,22207.4
2025-10-27,22097.0
2025-11-03,22263.9
2025-11-10,22232.5
2025-11-17,22292.4
2025-11-24,22265.7
2025-12-01,22387.0
2025-12-08,22416.0
2025-12-15,22500.7
2025-12-22,22586.2
2025-12-29,22634.5
2026-01-05,22646.2
2026-01-12,22577.9
2026-01-19,22482.6
2026-01-26,22384.7
2026-02-02,22462.7
