date,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-30 18:45:00,BTCUSDT,77217.144,2922746889.71544,1.04751535,1.13884391,0.95415216,2.01001252
2022-01-30 18:50:00,BTCUSDT,77227.568,2924464356.88352,1.05433666,1.13806262,0.96381416,3.36341068
2022-01-30 18:55:00,BTCUSDT,77261.698,2921173544.1055346,1.05688804,1.13765992,0.96416336,0.41954799
2022-01-30 19:00:00,BTCUSDT,77291.164,2922679573.4679604,1.05776945,1.13765716,0.96711427,1.31308051
2022-01-30 19:05:00,BTCUSDT,77401.894,2921962601.281952,1.05900973,1.13648239,0.96831219,0.5961142
2022-01-30 19:10:00,BTCUSDT,77115.787,2892856148.8853726,1.05247914,1.13624768,0.94866828,0.56725662
2022-01-30 19:15:00,BTCUSDT,77123.816,2893418727.91664,1.06317699,1.13518437,0.9612356,0.99945997
2022-01-30 19:20:00,BTCUSDT,77029.182,2897904926.1162004,1.06975619,1.13660232,0.9673943,0.99363121
2022-01-30 19:25:00,BTCUSDT,77082.92,2896328894.13835,1.07109704,1.13764117,0.96942938,0.8564495
2022-01-30 19:30:00,BTCUSDT,77180.172,2895546130.6741195,1.06863427,1.13749209,0.96550045,0.76473728
2022-01-30 19:35:00,BTCUSDT,77240.94,2896088500.556902,1.07112098,1.13722165,0.96947807,1.45595699
2022-01-30 19:40:00,BTCUSDT,77276.677,2897935069.6230345,1.07309707,1.13714795,0.97000865,0.94455738
2022-01-30 19:45:00,BTCUSDT,77259.22,2899901198.907252,1.07716388,1.13692091,0.97652047,1.40334917
2022-01-30 19:50:00,BTCUSDT,77273.48,2900074477.1348,1.07928738,1.13704423,0.98200596,1.37301648
2022-01-30 19:55:00,BTCUSDT,77190.484,2893371050.82368,1.08084265,1.13812223,0.98228974,1.11326563
2022-01-30 20:00:00,BTCUSDT,77217.935,2896346605.9601817,1.08216138,1.13840847,0.9840957,0.93636403
2022-01-30 20:05:00,BTCUSDT,76982.115,2878177922.034024,1.07831988,1.13786642,0.9698143,0.50918088
2022-01-30 20:10:00,BTCUSDT,76928.242,2876368508.28776,1.06312903,1.13981779,0.95259126,0.88508474
2022-01-30 20:15:00,BTCUSDT,76755.231,2887556351.89392,1.06894238,1.14072231,0.96409609,1.66701772
2022-01-30 20:20:00,BTCUSDT,76700.782,2888014207.006857,1.07141897,1.14108901,0.96784909,0.89591853
2022-01-30 20:25:00,BTCUSDT,76716.438,2891626882.9804864,1.07499528,1.1411548,0.97419009,1.35147575
2022-01-30 20:30:00,BTCUSDT,76733.869,2887912155.37867,1.06743899,1.14098913,0.9622541,0.64196041
2022-01-30 20:35:00,BTCUSDT,76750.985,2891181207.0855503,1.06821968,1.14068966,0.96397602,1.12038334
2022-01-30 20:40:00,BTCUSDT,76760.068,2891072539.7639337,1.06564722,1.14069446,0.96187483,1.23347008
2022-01-30 20:45:00,BTCUSDT,76703.816,2884642595.4108,1.06218325,1.14135656,0.95545185,0.45425948
2022-01-30 20:50:00,BTCUSDT,76755.847,2887735340.38045,1.0579985,1.14139624,0.95037172,1.04710233
2022-01-30 20:55:00,BTCUSDT,76731.643,2891203117.794911,1.05930164,1.14200575,0.95441901,2.05684684
2022-01-30 21:00:00,BTCUSDT,76744.556,2890797926.270292,1.05846236,1.14182701,0.95264015,0.8657696
2022-01-30 21:05:00,BTCUSDT,76765.791,2890168315.54347,1.05660277,1.14166719,0.95027375,1.23602685
2022-01-30 21:10:00,BTCUSDT,76800.62,2892266036.8342004,1.05566357,1.14178257,0.94909653,0.80475902
2022-01-30 21:15:00,BTCUSDT,76838.105,2890438205.3112497,1.0544158,1.14166489,0.94743472,0.66164676
2022-01-30 21:20:00,BTCUSDT,76846.374,2881759507.3689427,1.05310771,1.143181,0.94065878,0.47446088
2022-01-30 21:25:00,BTCUSDT,76883.478,2885519345.216224,1.05751233,1.14344559,0.94388191,1.10535063
2022-01-30 21:30:00,BTCUSDT,76939.28,2886906431.4464,1.05792545,1.14271947,0.9454191,1.03391827
2022-01-30 21:35:00,BTCUSDT,76964.607,2889222869.87541,1.0586104,1.14367436,0.94705503,2.22004489
2022-01-30 21:40:00,BTCUSDT,76929.58,2897679465.6848,1.06267212,1.14332292,0.95118716,1.56315503
2022-01-30 21:45:00,BTCUSDT,76924.905,2900619477.2398715,1.06160175,1.14380401,0.94958818,1.36933623
2022-01-30 21:50:00,BTCUSDT,76930.64,2903649304.8872,1.06187854,1.14260879,0.95330475,1.29784979
2022-01-30 21:55:00,BTCUSDT,76951.109,2900792184.353608,1.0581662,1.14233766,0.94729561,0.79852211
2022-01-30 22:00:00,BTCUSDT,77001.739,2903517662.7686296,1.05503831,1.14321858,0.94453025,0.8239677
2022-01-30 22:05:00,BTCUSDT,76996.217,2907019857.8419423,1.05822183,1.14325781,0.95185236,1.88139386
2022-01-30 22:10:00,BTCUSDT,77027.649,2909325370.790999,1.05966122,1.14251875,0.95296641,0.79479345
2022-01-30 22:15:00,BTCUSDT,77061.308,2903599123.8304443,1.05970149,1.14561069,0.94913489,0.41496416
2022-01-30 22:20:00,BTCUSDT,77180.193,2905660779.4159846,1.05885341,1.1443341,0.94820333,0.79299024
2022-01-30 22:25:00,BTCUSDT,77388.861,2916132483.1104198,1.0610164,1.14222327,0.94992232,3.90479997
2022-01-30 22:30:00,BTCUSDT,77371.705,2914180498.084857,1.06265577,1.14107177,0.95135029,0.91071961
2022-01-30 22:35:00,BTCUSDT,77421.644,2915698338.82356,1.06274783,1.14087621,0.95040948,0.65074029
2022-01-30 22:40:00,BTCUSDT,77385.539,2916241535.28862,1.06288516,1.14063753,0.95155109,1.52975118
2022-01-30 22:45:00,BTCUSDT,77360.731,2910166809.26034,1.06204976,1.14062966,0.94994346,0.56556844
2022-01-30 22:50:00,BTCUSDT,77402.088,2917507126.229512,1.0629037,1.14141939,0.95130679,3.11875773
2022-01-30 22:55:00,BTCUSDT,77241.371,2916793286.18426,1.06430496,1.14108957,0.95625915,3.22040671
2022-01-30 23:00:00,BTCUSDT,77271.804,2918509205.5844235,1.06526248,1.14070652,0.95641713,0.75158928
2022-01-30 23:05:00,BTCUSDT,77125.535,2923624945.5355763,1.07219019,1.13529608,0.96860188,1.78024019
2022-01-30 23:10:00,BTCUSDT,76672.69,2921656456.9594293,1.06975777,1.13318076,0.9726555,1.72457752
2022-01-30 23:15:00,BTCUSDT,76724.216,2929059971.860904,1.06073423,1.13174602,0.96432903,1.27838511
2022-01-30 23:20:00,BTCUSDT,76832.948,2928872746.0894794,1.05094055,1.13043468,0.94884228,0.60584346
2022-01-30 23:25:00,BTCUSDT,76916.575,2923567103.4660754,1.0488823,1.12957226,0.94474249,0.7435943
2022-01-30 23:30:00,BTCUSDT,76871.613,2924393718.56541,1.05397297,1.12949172,0.94976924,1.03735725
2022-01-30 23:35:00,BTCUSDT,77253.143,2937460082.0825286,1.05303093,1.12709414,0.94841589,1.93947651
2022-01-30 23:40:00,BTCUSDT,77215.426,2928981868.2876,1.05224476,1.12814426,0.94492087,0.84051726
2022-01-30 23:45:00,BTCUSDT,77186.303,2928618917.54963,1.0496961,1.12836814,0.94346312,0.93624744
2022-01-30 23:50:00,BTCUSDT,77199.753,2924724222.36795,1.05199273,1.12821468,0.94486377,0.99034753
2022-01-30 23:55:00,BTCUSDT,77188.563,2926467298.349703,1.0548878,1.12795656,0.94869771,1.21162393
2022-01-31 00:00:00,BTCUSDT,77276.883,2927653983.7409,,,0.947351055806938,
2022-03-02 15:45:00,BTCUSDT,74368.497,3285391965.6684,,,0.9179216531628632,
